command,products
green-ethernet short-reach (interface),"['cbs_250', 'cbs_350', 'cat_1300']"
gvrp enable (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
gvrp enable (Interface),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
gvrp registration-forbid,"['cbs_250', 'cbs_350', 'cat_1300']"
gvrp registration-mode,['cbs_220']
gvrp vlan-creation-forbid,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
help,"['cbs_250', 'cbs_350', 'cat_1300']"
history,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
history size,"['cbs_250', 'cbs_350', 'cat_1300']"
hop-limit,"['cbs_350', 'cat_1300']"
hostname,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
instance (MST),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
interface,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
interface ip,"['cbs_250', 'cbs_350', 'cat_1300']"
interface range,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
interface range vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
interface tunnel,"['cbs_250', 'cbs_350', 'cat_1300']"
interface vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
ip SSH logging,"['cbs_250', 'cbs_350', 'cat_1300']"
ip access-group in,['cbs_220']
ip access-list (IP extended),"['cbs_250', 'cbs_350', 'cat_1300']"
ip access-list (IP standard),"['cbs_250', 'cbs_350', 'cat_1300']"
ip access-list extended,['cbs_220']
ip address,"['cbs_250', 'cbs_350', 'cat_1300']"
ip address dhcp,"['cbs_250', 'cbs_350', 'cat_1300']"
ip arp inspection,"['cbs_220', 'cbs_350', 'cat_1300']"
ip arp inspection limit rate,['cbs_220']
ip arp inspection list assign,"['cbs_350', 'cat_1300']"
ip arp inspection list create,"['cbs_350', 'cat_1300']"
ip arp inspection logging interval,"['cbs_350', 'cat_1300']"
ip arp inspection trust,['cbs_220']
ip arp inspection validate,"['cbs_220', 'cbs_350', 'cat_1300']"
ip arp inspection vlan,"['cbs_220', 'cbs_350', 'cat_1300']"
ip arp proxy disable,"['cbs_250', 'cbs_350', 'cat_1300']"
ip default-gateway,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp excluded-address,"['cbs_350', 'cat_1300']"
ip dhcp information option,"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp information option circuit-id,"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp information option numeric-token-format,"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp information option remote-id,"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp pool host,"['cbs_350', 'cat_1300']"
ip dhcp pool network,"['cbs_350', 'cat_1300']"
ip dhcp relay address (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp relay enable (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp relay enable (Interface),"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp server,"['cbs_350', 'cat_1300']"
ip dhcp snooping,"['cbs_220', 'cbs_350', 'cat_1300']"
ip dhcp snooping binding,"['cbs_350', 'cat_1300']"
ip dhcp snooping database,"['cbs_220', 'cbs_350', 'cat_1300']"
ip dhcp snooping information option,['cbs_220']
ip dhcp snooping information option allow-untrusted,['cbs_220']
ip dhcp snooping information option allowed-untrusted,"['cbs_350', 'cat_1300']"
ip dhcp snooping limit rate,['cbs_220']
ip dhcp snooping trust,"['cbs_220', 'cbs_350', 'cat_1300']"
ip dhcp snooping verify,"['cbs_350', 'cat_1300']"
ip dhcp snooping verify mac-address,['cbs_220']
ip dhcp snooping vlan,"['cbs_220', 'cbs_350', 'cat_1300']"
ip dhcp snooping vlan information option circuit-id,['cbs_220']
ip dhcp tftp-server file,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp tftp-server image file,"['cbs_250', 'cbs_350', 'cat_1300']"
ip dhcp tftp-server ip address,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip domain lookup,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip domain name,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip domain polling-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ip domain retry,"['cbs_250', 'cbs_350', 'cat_1300']"
ip domain timeout,"['cbs_250', 'cbs_350', 'cat_1300']"
ip helper-address,"['cbs_250', 'cbs_350', 'cat_1300']"
ip host,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip http authentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip http port,"['cbs_250', 'cbs_350', 'cat_1300']"
ip http secure-server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip http server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip http timeout-policy,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip https certificate,"['cbs_250', 'cbs_350', 'cat_1300']"
ip https logging,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp filter,['cbs_220']
ip igmp last-member-query-count,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp last-member-query-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp max-groups,['cbs_220']
ip igmp profile,['cbs_220']
ip igmp query-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
