command,products
show hardware components,"['cbs_250', 'cbs_350', 'cat_1300']"
show hardware version,"['cbs_250', 'cbs_350', 'cat_1300']"
show history,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show hosts,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show interface status,['cbs_220']
show interfaces access-lists trapped packets,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces advertise,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces counters,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces description,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces port-channel,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces protected-ports,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show interfaces status,"['cbs_250', 'cbs_350', 'cat_1300']"
show interfaces switchport,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show inventory,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip,['cbs_220']
show ip arp inspection,"['cbs_220', 'cbs_350', 'cat_1300']"
show ip arp inspection interfaces,['cbs_220']
show ip arp inspection list,"['cbs_350', 'cat_1300']"
show ip arp inspection statistics,"['cbs_220', 'cbs_350', 'cat_1300']"
show ip dhcp,"['cbs_220', 'cbs_350', 'cat_1300']"
show ip dhcp allocated,"['cbs_350', 'cat_1300']"
show ip dhcp binding,"['cbs_350', 'cat_1300']"
show ip dhcp client interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip dhcp declined,"['cbs_350', 'cat_1300']"
show ip dhcp excluded-addresses,"['cbs_350', 'cat_1300']"
show ip dhcp expired,"['cbs_350', 'cat_1300']"
show ip dhcp information option,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip dhcp information option tokens,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip dhcp pool host,"['cbs_350', 'cat_1300']"
show ip dhcp pool network,"['cbs_350', 'cat_1300']"
show ip dhcp pre-allocated,"['cbs_350', 'cat_1300']"
show ip dhcp relay,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip dhcp server statistics,"['cbs_350', 'cat_1300']"
show ip dhcp snooping,"['cbs_220', 'cbs_350', 'cat_1300']"
show ip dhcp snooping binding,"['cbs_220', 'cbs_350', 'cat_1300']"
show ip dhcp snooping database,['cbs_220']
show ip dhcp snooping information option format remote-id,['cbs_220']
show ip dhcp snooping interfaces,['cbs_220']
show ip dhcp snooping interfaces statistics,['cbs_220']
show ip dhcp tftp-server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ip helper-address,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip http,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ip https,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp counters,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp filter,['cbs_220']
show ip igmp groups,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp groups summary,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp max-group,['cbs_220']
show ip igmp max-group action,['cbs_220']
show ip igmp profile,['cbs_220']
show ip igmp snooping,['cbs_220']
show ip igmp snooping forward-all,['cbs_220']
show ip igmp snooping groups,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp snooping interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp snooping mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp snooping multicast-tv,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip igmp snooping querier,['cbs_220']
show ip igmp snooping vlan,['cbs_220']
show ip igmp-proxy interface,"['cbs_350', 'cat_1300']"
show ip interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip mroute,"['cbs_350', 'cat_1300']"
show ip multicast,"['cbs_350', 'cat_1300']"
show ip protocols,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip rip database,"['cbs_350', 'cat_1300']"
show ip rip peers,"['cbs_350', 'cat_1300']"
show ip route,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip route summary,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip source binding,['cbs_220']
show ip ssh,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip ssh-client,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip ssh-client server,"['cbs_250', 'cbs_350', 'cat_1300']"
show ip verify source interfaces,['cbs_220']
show ipv6,['cbs_220']
show ipv6 dhcp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 dhcp guard,"['cbs_350', 'cat_1300']"
show ipv6 dhcp guard policy,"['cbs_350', 'cat_1300']"
show ipv6 dhcp interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 first hop security,"['cbs_350', 'cat_1300']"
show ipv6 first hop security active policies,"['cbs_350', 'cat_1300']"
show ipv6 first hop security attached policies,"['cbs_350', 'cat_1300']"
show ipv6 first hop security counters,"['cbs_350', 'cat_1300']"
show ipv6 first hop security error counters,"['cbs_350', 'cat_1300']"
show ipv6 first hop security policy,"['cbs_350', 'cat_1300']"
show ipv6 interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 link-local default zone,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld counters,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld filter,['cbs_220']
show ipv6 mld groups,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld groups summary,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld max-group,['cbs_220']
show ipv6 mld max-group action,['cbs_220']
show ipv6 mld profile,['cbs_220']
show ipv6 mld snooping,['cbs_220']
show ipv6 mld snooping forward-all,['cbs_220']
show ipv6 mld snooping groups,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld snooping interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld snooping mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 mld snooping vlan,['cbs_220']
show ipv6 mld-proxy interface,"['cbs_350', 'cat_1300']"
show ipv6 mroute,"['cbs_350', 'cat_1300']"
show ipv6 multicast,"['cbs_350', 'cat_1300']"
show ipv6 nd inspection,"['cbs_350', 'cat_1300']"
show ipv6 nd inspection policy,"['cbs_350', 'cat_1300']"
show ipv6 nd prefix,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 nd raguard,"['cbs_350', 'cat_1300']"
show ipv6 nd raguard policy,"['cbs_350', 'cat_1300']"
show ipv6 neighbor binding,"['cbs_350', 'cat_1300']"
show ipv6 neighbor binding policy,"['cbs_350', 'cat_1300']"
show ipv6 neighbor binding prefix table,"['cbs_350', 'cat_1300']"
show ipv6 neighbor binding table,"['cbs_350', 'cat_1300']"
show ipv6 neighbors,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 prefix-list,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 route,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 route summary,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 source guard,"['cbs_350', 'cat_1300']"
show ipv6 source guard policy,"['cbs_350', 'cat_1300']"
show ipv6 static,"['cbs_250', 'cbs_350', 'cat_1300']"
show ipv6 tunnel,"['cbs_250', 'cbs_350', 'cat_1300']"
show iscsi,"['cbs_350', 'cat_1300']"
show key chain,"['cbs_250', 'cbs_350', 'cat_1300']"
show lacp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show lacp port-channel,"['cbs_250', 'cbs_350', 'cat_1300']"
show line,"['cbs_220', 'cbs_350', 'cat_1300']"
show line lists,['cbs_220']
show link-flap prevention,"['cbs_250', 'cbs_350', 'cat_1300']"
show lldp,['cbs_220']
show lldp configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show lldp interfaces,['cbs_220']
show lldp interfaces tlvs-overloading,['cbs_220']
show lldp local,"['cbs_250', 'cbs_350', 'cat_1300']"
show lldp local tlvs-overloading,"['cbs_250', 'cbs_350', 'cat_1300']"
show lldp local-device,['cbs_220']
show lldp med,['cbs_220']
show lldp med configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show lldp neighbor,['cbs_220']
show lldp neighbors,"['cbs_250', 'cbs_350', 'cat_1300']"
show lldp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show logging,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show logging file,"['cbs_250', 'cbs_350', 'cat_1300']"
show login,"['cbs_250', 'cbs_350', 'cat_1300']"
show login failures,"['cbs_250', 'cbs_350', 'cat_1300']"
show loopback-detection,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show mac address-table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show mac address-table aging-time,['cbs_220']
show mac address-table count,"['cbs_250', 'cbs_350', 'cat_1300']"
show macro auto ports,"['cbs_250', 'cbs_350', 'cat_1300']"
show macro auto processing,"['cbs_250', 'cbs_350', 'cat_1300']"
show macro auto smart-macros,"['cbs_250', 'cbs_350', 'cat_1300']"
show management access-class,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show management access-list,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show management-vlan,['cbs_220']
show memory statistics,['cbs_220']
show mirror-configuration service,"['cbs_250', 'cbs_350', 'cat_1300']"
show monitor,['cbs_220']
show monitor session,"['cbs_250', 'cbs_350', 'cat_1300']"
show parser macro,"['cbs_250', 'cbs_350', 'cat_1300']"
show passwords configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show platform certificate,['cat_1300']
show platform hardware integrity,['cat_1300']
show platform integrity,['cat_1300']
show pnp,"['cbs_250', 'cbs_350', 'cat_1300']"
show policy-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show policy-map interface,['cbs_220']
show port leds configuration,['cbs_220']
show port-security,['cbs_220']
show ports jumbo-frame,"['cbs_250', 'cbs_350', 'cat_1300']"
show ports leds configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show ports security,"['cbs_250', 'cbs_350', 'cat_1300']"
show ports security addresses,"['cbs_250', 'cbs_350', 'cat_1300']"
show power inline,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show power inline consumption,['cbs_220']
show power inline monitor consumption,"['cbs_250', 'cbs_350', 'cat_1300']"
show power inline savings,"['cbs_250', 'cbs_350', 'cat_1300']"
show privilege,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show qos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show qos aggregate-policer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show qos interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show qos interfaces,['cbs_220']
show qos map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show qos queueing,['cbs_220']
show qos statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
show qos wrr-queue wrtd,"['cbs_250', 'cbs_350', 'cat_1300']"
show queue statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server accounting,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server group,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server nas secret,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server rejected users,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server unknown nas,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius server user,"['cbs_250', 'cbs_350', 'cat_1300']"
show radius-server,['cbs_220']
show radius-server default-param,['cbs_220']
show radius-servers,"['cbs_350', 'cat_1300']"
show radius-servers key,"['cbs_350', 'cat_1300']"
show rate-limit interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show rate-limit vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show reload,"['cbs_250', 'cbs_350', 'cat_1300']"
show rmon alarm,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show rmon alarm-table,"['cbs_250', 'cbs_350', 'cat_1300']"
show rmon collection stats,"['cbs_250', 'cbs_350', 'cat_1300']"
show rmon event,['cbs_220']
show rmon event log,['cbs_220']
show rmon events,"['cbs_250', 'cbs_350', 'cat_1300']"
show rmon history,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show rmon log,"['cbs_250', 'cbs_350', 'cat_1300']"
show rmon statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
show rmon statistics interfaces,['cbs_220']
show route-map,"['cbs_350', 'cat_1300']"
show router hardware-routing status,"['cbs_250', 'cbs_350', 'cat_1300']"
show running-config,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show security-suite configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show security-suite dos,['cbs_220']
show security-suite dos interfaces,['cbs_220']
show security-suite syn protection,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show services tcp-udp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show sessions,"['cbs_250', 'cbs_350', 'cat_1300']"
show sflow configuration,"['cbs_350', 'cat_1300']"
show snmp,"['cbs_250', 'cbs_350', 'cat_1300']"
show snmp engineID,"['cbs_250', 'cbs_350', 'cat_1300']"
show snmp filters,"['cbs_250', 'cbs_350', 'cat_1300']"
show snmp groups,"['cbs_250', 'cbs_350', 'cat_1300']"
show snmp users,"['cbs_250', 'cbs_350', 'cat_1300']"
show snmp views,"['cbs_250', 'cbs_350', 'cat_1300']"
show snmp-server,['cbs_220']
show snmp-server community,['cbs_220']
show snmp-server engineid,['cbs_220']
show snmp-server group,['cbs_220']
show snmp-server host,['cbs_220']
show snmp-server trap,['cbs_220']
show snmp-server user,['cbs_220']
show snmp-server view,['cbs_220']
show sntp configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show sntp status,"['cbs_250', 'cbs_350', 'cat_1300']"
show software versions,"['cbs_250', 'cbs_350', 'cat_1300']"
show spanning-tree,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show spanning-tree bpdu,"['cbs_250', 'cbs_350', 'cat_1300']"
show spanning-tree interfaces,['cbs_220']
show spanning-tree mst,['cbs_220']
show spanning-tree mst configuration,['cbs_220']
show spanning-tree mst interfaces,['cbs_220']
show ssd session,"['cbs_250', 'cbs_350', 'cat_1300']"
show stack,"['cbs_350', 'cat_1300']"
show stack configuration,"['cbs_350', 'cat_1300']"
show stack links,"['cbs_350', 'cat_1300']"
show startup-config,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show storm-control,['cbs_220']
show storm-control interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show surveillance-vlan interface,['cat_1300']
show switchport monitor,"['cbs_250', 'cbs_350', 'cat_1300']"
show syslog-servers,"['cbs_250', 'cbs_350', 'cat_1300']"
show system,"['cbs_250', 'cbs_350', 'cat_1300']"
show system fans,"['cbs_250', 'cbs_350', 'cat_1300']"
show system id,"['cbs_250', 'cbs_350', 'cat_1300']"
show system languages,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show system resources,"['cbs_250', 'cbs_350', 'cat_1300']"
show system sensors,"['cbs_250', 'cbs_350', 'cat_1300']"
show system tcam utilization,"['cbs_250', 'cbs_350', 'cat_1300']"
show tacacs,"['cbs_220', 'cbs_350', 'cat_1300']"
show tacacs default-config,['cbs_220']
show tacacs key,"['cbs_350', 'cat_1300']"
show tech-support,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show time-range,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show udld,"['cbs_350', 'cat_1300']"
show username,['cbs_220']
show users,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show users accounts,"['cbs_250', 'cbs_350', 'cat_1300']"
show users login-history,"['cbs_250', 'cbs_350', 'cat_1300']"
show version,['cbs_220']
show vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show vlan default-vlan,['cbs_220']
show vlan internal usage,"['cbs_250', 'cbs_350', 'cat_1300']"
show vlan macs-groups,"['cbs_250', 'cbs_350', 'cat_1300']"
show vlan multicast-tv,"['cbs_250', 'cbs_350', 'cat_1300']"
show vlan private-vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
show vlan protocols-groups,"['cbs_250', 'cbs_350', 'cat_1300']"
show vlan remote-span,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show vlan subnets-groups,"['cbs_250', 'cbs_350', 'cat_1300']"
show voice vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show voice vlan local,"['cbs_250', 'cbs_350', 'cat_1300']"
shutdown,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
silent-time,['cbs_220']
smartport storm-control,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp trap link-status,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server,['cbs_220']
snmp-server community,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
snmp-server community-group,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server contact,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
snmp-server enable traps,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server engineID local,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server engineID remote,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server engineid,['cbs_220']
snmp-server engineid remote,['cbs_220']
snmp-server filter,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server group,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
snmp-server host,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
snmp-server location,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
snmp-server server,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server set,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server source-interface,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server source-interface-ipv6,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server trap,['cbs_220']
snmp-server trap authentication,"['cbs_250', 'cbs_350', 'cat_1300']"
snmp-server user,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
snmp-server view,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
sntp anycast client enable,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp authenticate,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp authentication-key,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp broadcast client enable,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp client enable,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp client enable (interface),"['cbs_250', 'cbs_350', 'cat_1300']"
sntp server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
sntp source-interface,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp source-interface-ipv6,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp trusted-key,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp unicast client enable,"['cbs_250', 'cbs_350', 'cat_1300']"
sntp unicast client poll,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree bpdu (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree bpdu (Interface),"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree bpdu-filter (Interface),['cbs_220']
spanning-tree bpdu-guard (Interface),['cbs_220']
spanning-tree bpduguard,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree cost,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree cost (Interface),['cbs_220']
spanning-tree disable,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree forward-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree guard root,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree hello-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree link-type,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree link-type (Interface),['cbs_220']
spanning-tree loopback-guard,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree max-age,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree max-hops,['cbs_220']
spanning-tree mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree mst configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree mst cost,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree mst instance,['cat_1300']
spanning-tree mst max-hops,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree mst port-priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree mst priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree pathcost method,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree port-priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree portfast,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree tx-hold-count,['cbs_220']
spanning-tree vlan cost,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree vlan forward-time,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree vlan hello-time,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree vlan max-age,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree vlan port-priority,"['cbs_250', 'cbs_350', 'cat_1300']"
spanning-tree vlan priority,"['cbs_250', 'cbs_350', 'cat_1300']"
speed,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ssd config,"['cbs_250', 'cbs_350', 'cat_1300']"
ssd file integrity control,"['cbs_250', 'cbs_350', 'cat_1300']"
ssd file passphrase control,"['cbs_250', 'cbs_350', 'cat_1300']"
ssd rule,"['cbs_250', 'cbs_350', 'cat_1300']"
ssd session read,"['cbs_250', 'cbs_350', 'cat_1300']"
ssh,"['cbs_250', 'cbs_350', 'cat_1300']"
stack configuration,"['cbs_350', 'cat_1300']"
stack unit,"['cbs_350', 'cat_1300']"
storm-control,"['cbs_250', 'cbs_350', 'cat_1300']"
storm-control action,['cbs_220']
storm-control broadcast,['cbs_220']
storm-control broadcast level,['cbs_220']
storm-control enable,['cbs_220']
storm-control ifg,['cbs_220']
storm-control unit,['cbs_220']
storm-control unknown-multicast,['cbs_220']
storm-control unknown-multicast level,['cbs_220']
storm-control unknown-unicast,['cbs_220']
storm-control unknown-unicast level,['cbs_220']
surveillance-vlan aging-timeout,['cat_1300']
surveillance-vlan cos,['cat_1300']
surveillance-vlan enable (Interface),['cat_1300']
surveillance-vlan vlan-id,['cat_1300']
switchport,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport access multicast-tv vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport access vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport customer multicast-tv vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport customer vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport default-vlan tagged,['cbs_220']
switchport dot1q-tunnel vlan,['cbs_220']
switchport forbidden default-vlan,['cbs_220']
switchport forbidden vlan,['cbs_220']
switchport general acceptable-frame-type,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport general allowed vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport general forbidden vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport general ingress-filtering disable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport general map macs-group vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport general map protocols-group vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport general map subnets-group vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport general pvid,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport mode trunk uplink,['cbs_220']
switchport nni ethtype,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport port-security,['cbs_220']
switchport port-security mode maximum,['cbs_220']
switchport private-vlan host-association,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport private-vlan mapping,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport protected,['cbs_220']
switchport protected-port,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport trunk allowed vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport trunk native vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan tpid,['cbs_220']
switchport vlan-mapping one-to-one,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan-mapping tunnel,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan-mapping tunnel l2protocol cos,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan-mapping tunnel l2protocol cos interface,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan-mapping tunnel l2protocol drop-threshold,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan-mapping tunnel l2protocol forward,"['cbs_250', 'cbs_350', 'cat_1300']"
switchport vlan-mapping tunnel l2protocol vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
system light,"['cbs_250', 'cbs_350', 'cat_1300']"
system recovery,"['cbs_250', 'cbs_350', 'cat_1300']"
system reset-button disable,['cat_1300']
system resources,"['cbs_250', 'cbs_350', 'cat_1300']"
tacacs-server default-param,['cbs_220']
tacacs-server host,"['cbs_220', 'cbs_350', 'cat_1300']"
tacacs-server host source-interface,"['cbs_350', 'cat_1300']"
tacacs-server host source-interface-ipv6,"['cbs_350', 'cat_1300']"
tacacs-server key,"['cbs_350', 'cat_1300']"
tacacs-server timeout,"['cbs_350', 'cat_1300']"
telnet,"['cbs_250', 'cbs_350', 'cat_1300']"
terminal datadump,"['cbs_250', 'cbs_350', 'cat_1300']"
terminal history,"['cbs_250', 'cbs_350', 'cat_1300']"
terminal history size,"['cbs_250', 'cbs_350', 'cat_1300']"
terminal length,['cbs_220']
terminal prompt,"['cbs_250', 'cbs_350', 'cat_1300']"
terminal width,"['cbs_250', 'cbs_350', 'cat_1300']"
test cable-diagnostics tdr,"['cbs_250', 'cbs_350', 'cat_1300']"
time-range,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
time-server,"['cbs_350', 'cat_1300']"
traceroute,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
traffic-shape,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
traffic-shape queue,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
trust,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
trust-shape (Interface),['cbs_220']
trusted-port (IPv6 Source Guard),"['cbs_350', 'cat_1300']"
tunnel destination,"['cbs_250', 'cbs_350', 'cat_1300']"
tunnel isatap robustness,"['cbs_250', 'cbs_350', 'cat_1300']"
tunnel isatap solicitation-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
udld,"['cbs_350', 'cat_1300']"
